Name,Organization_NPI,ABCD,Office_Email,Office_Hours,Apple_Health,Signed_up_to_Dentistlink,Facility_Type,Provider_Type,Delta_Dental_of_WA,Adult,Pediatric,Orthodontics,Dentures,Extractions,Billing_Address_Line_1,Billing_City,Billing_Zip/Postal_Code,Billing State/Province,Account_Owner,Latitude,Longitude,Google_Maps_link,sp_id
Melanie Johnson,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,15917 Ne 25Th Ave,Ridgefield,98642,WA,Lindsey Lenox,45.736932,-122.645322,http://maps.google.com/maps?&z=10&q=45.7369316+-122.64532229999998&ll=45.7369316+-122.64532229999998,
Mercer Park Dentistry,,0,mercerparkins@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,3003 Island Crest Way Ste 2,Mercer Island,98040,WA,Lindsey Lenox,47.58355,-122.23098,http://maps.google.com/maps?&z=10&q=47.5835495+-122.23097960000001&ll=47.5835495+-122.23097960000001,
Mercer School Based Health Ctr,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1600 S Columbian Way,Seattle,98108,WA,Lindsey Lenox,47.564096,-122.31206,http://maps.google.com/maps?&z=10&q=47.5640958+-122.3120601&ll=47.5640958+-122.3120601,
Merlin David Ekvall DDS MS Mph,1851392658,0,drekvallsoffice@yahoo.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,800 Jasmine St Ste 4,Omak,98841,WA,Lindsey Lenox,48.396951,-119.545534,http://maps.google.com/maps?&z=10&q=48.3969514+-119.54553390000001&ll=48.3969514+-119.54553390000001,
Dr. Scott Decker,1326126251,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1120 Cole St,Enumclaw,98022,WA,Lindsey Lenox,47.200475,-121.993443,http://maps.google.com/maps?&z=10&q=47.2004746+-121.99344280000003&ll=47.2004746+-121.99344280000003,
Michael M Coffey Denture Clinic,1417001280,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,616 E Front St,Port Angeles,98362,WA,Lindsey Lenox,48.115713,-123.423049,http://maps.google.com/maps?&z=10&q=48.1157127+-123.42304860000002&ll=48.1157127+-123.42304860000002,
Mid-columbia Dental,1427592351,0,smile@midcolumbiadental.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2620 S Williams Pkace Suite 120,Kennewick,99338,WA,Lindsey Lenox,46.185502,-119.18254,http://maps.google.com/maps?&z=10&q=46.1855016+-119.18253979999997&ll=46.1855016+-119.18253979999997,
Milestone Dental Group,1245612423,0,milestonedentalgroup@gmail.com,,1,0,,,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,16330 Se 256Th St,Covington,98042,WA,Lindsey Lenox,47.372837,-122.123945,http://maps.google.com/maps?&z=10&q=47.3728372+-122.12394469999998&ll=47.3728372+-122.12394469999998,
Millennium Dental Clinic,,0,millenniumdentalclinic@live.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,12819 120Th Ave Ne Ste I,Kirkland,98034,WA,Lindsey Lenox,47.715257,-122.181977,http://maps.google.com/maps?&z=10&q=47.7152568+-122.18197709999998&ll=47.7152568+-122.18197709999998,
Min-n-out Dental & Denture,1437584349,0,minandoutdenture@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,30810 Pacific Hwy S,Federal Way,98003,WA,Lindsey Lenox,47.325715,-122.312227,http://maps.google.com/maps?&z=10&q=47.3257152+-122.31222700000001&ll=47.3257152+-122.31222700000001,
Mobile Dental Hygiene,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,515 Washington St Apt 10K,Vancouver,98660,WA,Lindsey Lenox,45.625039,-122.672806,http://maps.google.com/maps?&z=10&q=45.6250393+-122.6728056&ll=45.6250393+-122.6728056,
Monroe Denture Clinic,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,379 Butler Ave,Monroe,98272,WA,Lindsey Lenox,47.858007,-121.967194,http://maps.google.com/maps?&z=10&q=47.85800690000001+-121.96719439999998&ll=47.85800690000001+-121.96719439999998,
Moses Lake Dental PLLC,,0,lori@lakesidedentalml.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1708 S Clover,Moses Lake,98837,WA,Lindsey Lenox,47.110324,-119.259346,http://maps.google.com/maps?&z=10&q=47.1103241+-119.25934560000002&ll=47.1103241+-119.25934560000002,
Smile Mobile Mobile Dental Svc,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,9706 4Th Avenue Ne,Seattle,98115,WA,Lindsey Lenox,47.699341,-122.323716,http://maps.google.com/maps?&z=10&q=47.6993407+-122.32371639999997&ll=47.6993407+-122.32371639999997,
Smile Now Dental-Arlington,1629315452,1,info@smilenownw.com,"Mon, Thurs, Fri-10am-6pm  Tues-Closed  Wed, 9am-6pm  Weekends:  Sat 9-5pm",1,1,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3704 172Nd St Ne Ste E,Arlington,98223,WA,Lindsey Lenox,48.15208,-122.178259,http://maps.google.com/maps?&z=10&q=48.1520802+-122.17825870000001&ll=48.1520802+-122.17825870000001,
Smile West Seattle LLC,1124347976,1,smilewestseattle@gmail.com,,1,0,Private,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,3623 Sw Alaska Street,Seattle,98126,WA,Lindsey Lenox,47.560894,-122.378425,http://maps.google.com/maps?&z=10&q=47.560894+-122.37842549999999&ll=47.560894+-122.37842549999999,
Smileright Orthodontics Puyallup,1134429848,0,smilebrightortho@aol.com,"Mon, 9am-5pm Tues, 8am-3pm wed, 7:30am-12pm",1,0,Private,Orthodontist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,602 Meridian S,Puyallup,98371,WA,Lindsey Lenox,47.187109,-122.293959,http://maps.google.com/maps?&z=10&q=47.18710900000001+-122.29395850000003&ll=47.18710900000001+-122.29395850000003,
Smiles On Madison LLC,1437423183,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2209 E Madison St,Seattle,98112,WA,Lindsey Lenox,47.618208,-122.303493,http://maps.google.com/maps?&z=10&q=47.6182082+-122.30349339999998&ll=47.6182082+-122.30349339999998,
Smiles R Us Family Dental,1578916433,0,tdhakchang@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1207 N 200Th St Ste 223,Shoreline,98133,WA,Lindsey Lenox,47.773608,-122.344049,http://maps.google.com/maps?&z=10&q=47.7736078+-122.3440491&ll=47.7736078+-122.3440491,
Smilesonrisas Dental,1720372675,0,wgarcia@apexmobilega.com,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,825 Sharon Ave E,Moses Lake,98837,WA,Lindsey Lenox,47.112381,-119.262313,http://maps.google.com/maps?&z=10&q=47.1123808+-119.26231289999998&ll=47.1123808+-119.26231289999998,
Snoqualmie Ridge Family Dental,1801059969,0,,,1,0,,,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,7719 Center Blvd Se,Snoqualmie,98065,WA,Lindsey Lenox,47.530596,-121.873458,http://maps.google.com/maps?&z=10&q=47.53059649999999+-121.87345779999998&ll=47.53059649999999+-121.87345779999998,
Snoqualmie Tribe Health Service,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,9450 Ethan Wade Way Se,Snoqualmie,98065,WA,Lindsey Lenox,47.51341,-121.825294,http://maps.google.com/maps?&z=10&q=47.5134103+-121.82529390000002&ll=47.5134103+-121.82529390000002,
Soleiman Soltani,1336219625,0,ballingerdental@hotmail.com,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,20036 19Th Ave Ne,Seattle,98155,WA,Lindsey Lenox,47.733889,-122.308689,http://maps.google.com/maps?&z=10&q=47.73388869999999+-122.30868900000002&ll=47.73388869999999+-122.30868900000002,
Stephen M MacGeorge DDS,1386723708,0,smacgeorge@comcast.net,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1207 N 200Th Suite 220,Seattle,98133,WA,Lindsey Lenox,47.773608,-122.344049,http://maps.google.com/maps?&z=10&q=47.7736078+-122.3440491&ll=47.7736078+-122.3440491,
Steven C Harrop DDS,1538240064,0,harropdentistry@methownet.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,505 Highway 20,Winthrop,98862,WA,Lindsey Lenox,48.471967,-120.177664,http://maps.google.com/maps?&z=10&q=48.4719674+-120.17766360000002&ll=48.4719674+-120.17766360000002,
Steven J Olson DDS,1427009984,0,smile@drcareydds.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,136 Sw Normandy Road,Normandy Park,98166,WA,Lindsey Lenox,47.441481,-122.336016,http://maps.google.com/maps?&z=10&q=47.4414808+-122.3360161&ll=47.4414808+-122.3360161,
Affordable Dental Care- Steven L Paige DDS PS,,0,bellevue@affordabledentalcare.com,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Appointment Only,,4122 Factoria Blvd SE #301,Bellevue,98006,WA,Lindsey Lenox,47.572258,-122.168499,http://maps.google.com/maps?&z=10&q=47.5722575+-122.16849910000002&ll=47.5722575+-122.16849910000002,
Advanced Care Dentistry,,0,advancedcaredental@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,16600 West Valley Hwy #106,Tukwila,98188,WA,Lindsey Lenox,47.453799,-122.24282,http://maps.google.com/maps?&z=10&q=47.4537994+-122.24282010000002&ll=47.4537994+-122.24282010000002,
Smiles Dental - Vancouver,1285093385,1,dlovingier@welovesmiles.com,"Mon-Fri Standard ? 8am-5pm Morning ? After 8:30am Closed Weds, Thurs.",1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,10009 NE Hazel Dell,Vancouver,98685,WA,Lindsey Lenox,45.693896,-122.669011,http://maps.google.com/maps?&z=10&q=45.6938959+-122.66901089999999&ll=45.6938959+-122.66901089999999,
Moses Lake Denture Clinic,,0,,,1,1,Private,Denturist,1,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,1045 W Broadway Ave,Moses Lake,98837,WA,Lindsey Lenox,47.122589,-119.291986,http://maps.google.com/maps?&z=10&q=47.1225889+-119.29198610000003&ll=47.1225889+-119.29198610000003,
Moses Lake Family Dentistry,1437478203,0,craig@moseslakedentist.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,975 E Nelson Rd,Moses Lake,98837,WA,Lindsey Lenox,47.11616,-119.261343,http://maps.google.com/maps?&z=10&q=47.1161604+-119.26134309999998&ll=47.1161604+-119.26134309999998,
Moses Lake Pediatric Dentistry,1861826489,1,tina@moseslakepd.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,800 N Stratford Rd,Moses Lake,98837,WA,Lindsey Lenox,47.139472,-119.278698,http://maps.google.com/maps?&z=10&q=47.1394715+-119.27869829999997&ll=47.1394715+-119.27869829999997,
Mountain View Dental,1265972939,0,mvdc@fairpoint.net,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,708 E Mountain View Ave,Ellensburg,98926,WA,Lindsey Lenox,46.984169,-120.536749,http://maps.google.com/maps?&z=10&q=46.9841694+-120.53674910000001&ll=46.9841694+-120.53674910000001,
MyDentist Dental Center,1336441617,1,office@mydentistseattle.com,,1,1,Private,Pediatric,1,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,333 Rainier Ave N,Renton,98057,WA,Lindsey Lenox,47.487065,-122.218533,http://maps.google.com/maps?&z=10&q=47.4870653+-122.21853329999999&ll=47.4870653+-122.21853329999999,
Nabegh Ghattas,,0,,,1,1,Private,Denturist,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,No Extractions,2811 E Main Ave,Puyallup,98372,WA,Lindsey Lenox,47.192338,-122.257694,http://maps.google.com/maps?&z=10&q=47.1923375+-122.25769409999998&ll=47.1923375+-122.25769409999998,
Egger Orthodontics,1730190497,0,smile@eggerortho.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,22530 Se 64Th Pl Ste 130,Issaquah,98027,WA,Lindsey Lenox,47.544103,-122.039529,http://maps.google.com/maps?&z=10&q=47.5441025+-122.03952879999997&ll=47.5441025+-122.03952879999997,
Nazish Haq,1174914162,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,3555 Mckinley Ave # 104,Tacoma,98404,WA,Lindsey Lenox,47.228372,-122.419847,http://maps.google.com/maps?&z=10&q=47.228372+-122.419847&ll=47.228372+-122.419847,
Northwest Denture Center Arlington,,0,crystal@nwdental.org,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,430 N West Ave Ste 3,Arlington,98223,WA,Lindsey Lenox,48.197098,-122.128653,http://maps.google.com/maps?&z=10&q=48.197098+-122.12865320000003&ll=48.197098+-122.12865320000003,
Northwest Denture Center Everett,,0,becky@nwdental.org,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,4367 Rucker Ave,Everett,98203,WA,Lindsey Lenox,47.959475,-122.210217,http://maps.google.com/maps?&z=10&q=47.9594747+-122.21021710000002&ll=47.9594747+-122.21021710000002,
Northwest Oral Health Outreach,1629445929,1,info@nwoho.com,"Standard Mon-Fri 8am-5pm, Ellensburg Ritzville Wed: 9am-3:30pm",1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,"1206 N Dolarway Rd Ste 208 Ellensburg, Wa 98926",Ellensburg,98926,WA,Lindsey Lenox,47.004914,-120.584604,http://maps.google.com/maps?&z=10&q=47.004914+-120.5846042&ll=47.004914+-120.5846042,
Northwest Smile Dental & Denture Inc,1083168512,0,nwsmiledental@gmail.com,,1,0,,,0,Appointment Only,Appointment Only,Not Accepting,Appointment Only,Limited Extractions,7233 Martin Way E,Lacey,98516,WA,Konstanza Von Sternberg,47.052089,-122.783612,http://maps.google.com/maps?&z=10&q=47.0520894+-122.783612&ll=47.0520894+-122.783612,
Nw Endodontics,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,13344 1St Ave Ne Ste 202,Seattle,98125,WA,Lindsey Lenox,47.726095,-122.328875,http://maps.google.com/maps?&z=10&q=47.7260947+-122.3288751&ll=47.7260947+-122.3288751,
Obiora E Nkwonta DDS,1740379155,0,helpdesk@rainierdentalcenter.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2300 Rainier Ave S,Seattle,98144,WA,Lindsey Lenox,47.582752,-122.301222,http://maps.google.com/maps?&z=10&q=47.5827517+-122.301222&ll=47.5827517+-122.301222,
Olympic Dental Center,1841318912,0,olydent1@msn.com,,1,1,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,716 W Main,Centrailia,98531,WA,Lindsey Lenox,46.717766,-122.962627,http://maps.google.com/maps?&z=10&q=46.7177659+-122.96262739999997&ll=46.7177659+-122.96262739999997,
Olympic Oral Surgery,1568841799,0,info@olympicoralsurgery.com,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,1020 Anderson Dr Ste 205,Aberdeen,98520,WA,Lindsey Lenox,46.981391,-123.845872,http://maps.google.com/maps?&z=10&q=46.9813913+-123.84587240000002&ll=46.9813913+-123.84587240000002,
Olympic Peninsula Oral Surgery & Implants,,0,jemersondds@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,550 N 5Th Ave,Sequim,98382,WA,Lindsey Lenox,48.084412,-123.111937,http://maps.google.com/maps?&z=10&q=48.0844119+-123.11193660000004&ll=48.0844119+-123.11193660000004,
Omak Indian Health Services,1639210370,0,nina.tatshama-marchand@ihs.gov,,1,0,,,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,617 Benton St,Omak,98841,WA,Konstanza Von Sternberg,48.403951,-119.524836,http://maps.google.com/maps?&z=10&q=48.403951+-119.52483569999998&ll=48.403951+-119.52483569999998,
Award Dental,,0,katrina@awarddental.com,"Office Hours: Mon-Fri, 9:00AM-6PM Sat 9:00AM-3:00PM",1,0,Private,Dentist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,431 E. Ward St.,Kent,98030,WA,Lindsey Lenox,47.3827,-122.228606,http://maps.google.com/maps?&z=10&q=47.3826997+-122.22860639999999&ll=47.3826997+-122.22860639999999,
Nellie I Solovjov,1619073269,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,11216 Ne 15Th St Suite #A,Bellevue,98004,WA,Lindsey Lenox,47.624177,-122.190137,http://maps.google.com/maps?&z=10&q=47.6241765+-122.19013719999998&ll=47.6241765+-122.19013719999998,
New Era Denture Service,1336522069,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,209 W. Main St,Morton,98356,WA,Lindsey Lenox,46.557385,-122.269087,http://maps.google.com/maps?&z=10&q=46.5573847+-122.2690867&ll=46.5573847+-122.2690867,
Lake Spokane Community Dental,,0,paulah@newhp.ort,Office hours- Mon-Fri Standard ? 8am-5pm Morning ? before 8am,1,1,FQHC,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Appointment Only,,5952 Blackstone Way,Nine Mile Falls,99026,WA,Lindsey Lenox,47.813869,-117.567365,http://maps.google.com/maps?&z=10&q=47.813869+-117.56736510000002&ll=47.813869+-117.56736510000002,
New Heights Dental Clinic,,0,,,1,0,,,0,Appointment Only,Not Accepting,Not Accepting,Not Accepting,,8000 NE 58th Ave,Vancouver,98665,WA,Lindsey Lenox,45.680282,-122.612806,http://maps.google.com/maps?&z=10&q=45.6802822+-122.61280569999997&ll=45.6802822+-122.61280569999997,
New Smile Denture Clinic,1609122183,0,dentureinfo@att.net,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,114 W Alder St,Shelton,98584,WA,Lindsey Lenox,47.216221,-123.099871,http://maps.google.com/maps?&z=10&q=47.2162207+-123.09987130000002&ll=47.2162207+-123.09987130000002,
Newcastle Dental Specialists,1013332196,0,appointments@newcastledentistry.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,12835 Newcastle Way Unit 304,Newcastle,98056,WA,Lindsey Lenox,47.538559,-122.16887,http://maps.google.com/maps?&z=10&q=47.538559+-122.16887009999999&ll=47.538559+-122.16887009999999,
Newport Dental,1801110861,1,newportdental@hotmail.com,,1,1,Private,Pediatric,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,Limited Extractions,12826 Se 40Th Ln Ste 201,Bellevue,98006,WA,Lindsey Lenox,47.573871,-122.169086,http://maps.google.com/maps?&z=10&q=47.5738709+-122.16908569999998&ll=47.5738709+-122.16908569999998,
Ngoc Trung Pham DDS,,0,,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Appointment Only,,502 Rainier Ave S #203,Seattle,98144,WA,Lindsey Lenox,47.598132,-122.312914,http://maps.google.com/maps?&z=10&q=47.598132+-122.31291379999999&ll=47.598132+-122.31291379999999,
All Smiles Dental-Dentures,1316179641,1,allsmilesdental2013@gmail.com,,1,0,Private,Dentist,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,22625 Pacific Hwy S,Des Moines,98198,WA,Lindsey Lenox,47.398237,-122.296714,http://maps.google.com/maps?&z=10&q=47.3982365+-122.29671400000001&ll=47.3982365+-122.29671400000001,
Norman H Nishikawa DDS,1588751978,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,14655 Bel Red Rd #F103,Bellevue,98007,WA,Konstanza Von Sternberg,47.62576,-122.144797,http://maps.google.com/maps?&z=10&q=47.6257601+-122.1447968&ll=47.6257601+-122.1447968,
North Seattle Pediatric Dentistry,1982057030,1,northseattledds@gmail.com,,1,0,,,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,10202 5Th Ave Ne Ste 101,Seattle,98125,WA,Lindsey Lenox,47.702496,-122.32314,http://maps.google.com/maps?&z=10&q=47.70249560000001+-122.32314009999999&ll=47.70249560000001+-122.32314009999999,
Northgate Dental Clinic,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,9714 3Rd Ave Ne Ste 201,Seattle,98115,WA,Lindsey Lenox,47.699298,-122.325758,http://maps.google.com/maps?&z=10&q=47.699298+-122.32575780000002&ll=47.699298+-122.32575780000002,
Seattle Denture Care,,0,seattledenturecare@outlook.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,17600 Talbot Rd S Ste 2,Renton,98055,WA,Lindsey Lenox,47.444581,-122.210795,http://maps.google.com/maps?&z=10&q=47.4445807+-122.2107949&ll=47.4445807+-122.2107949,
Northwest Dental PLLC,1881923357,0,nwdental98003@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,720 S 348Th St # A1-A,Federal Way,98003,WA,Lindsey Lenox,47.290427,-122.324565,http://maps.google.com/maps?&z=10&q=47.2904272+-122.3245655&ll=47.2904272+-122.3245655,
Northwest Dentistry,1588084289,1,stephanieyidds@gmail.com,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,Limited Extractions,1717 S 324Th St Ste A,Federal Way,98003,WA,Lindsey Lenox,47.311257,-122.311101,http://maps.google.com/maps?&z=10&q=47.3112567+-122.31110080000002&ll=47.3112567+-122.31110080000002,
Northwest Denture Center Burlington,,0,lisa@nwdental.org,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,200 Gilkey Rd,Burlington,98233,WA,Lindsey Lenox,48.464208,-122.333306,http://maps.google.com/maps?&z=10&q=48.4642079+-122.33330619999998&ll=48.4642079+-122.33330619999998,
Northwest Denture Center Bellingham,1164740445,0,crystal@nwdental.org,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,2710 Meridian Street,Bellingham,98225,WA,Lindsey Lenox,48.766203,-122.485646,http://maps.google.com/maps?&z=10&q=48.766203+-122.48564550000003&ll=48.766203+-122.48564550000003,
Oroville Dental Center,,0,orovilledentalcenter@outlook.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1600 Main St,Oroville,98844,WA,Lindsey Lenox,48.940434,-119.434769,http://maps.google.com/maps?&z=10&q=48.94043449999999+-119.4347687&ll=48.94043449999999+-119.4347687,
Orthodontic Care Of Washington,,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,2520 S 38Th St Suite A,Lakewood,98409,WA,Lindsey Lenox,47.222471,-122.475704,http://maps.google.com/maps?&z=10&q=47.2224714+-122.47570430000002&ll=47.2224714+-122.47570430000002,
Osborn Denture Clinic And Lab,,0,,,1,1,,,1,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,303 N Pines Rd,Spokane Valley,99206,WA,Lindsey Lenox,47.659902,-117.240223,http://maps.google.com/maps?&z=10&q=47.6599021+-117.24022309999998&ll=47.6599021+-117.24022309999998,
Pac Dental Inc,1508945908,0,montchou@hotmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,900 S Jackson St #214,Seattle,98104,WA,Lindsey Lenox,47.5992,-122.322007,http://maps.google.com/maps?&z=10&q=47.5992002+-122.32200669999997&ll=47.5992002+-122.32200669999997,
Pacific Dental And Denture Clinic Inc,1619411568,0,,,1,0,Private,Denturist,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,33505 Pacific Hwy S,Federal Way,98003,WA,Lindsey Lenox,47.301408,-122.314063,http://maps.google.com/maps?&z=10&q=47.301408+-122.31406300000003&ll=47.301408+-122.31406300000003,
Pacific Northwest Dental Anesthesia Services,1003284134,0,pnwdentalanesthesia@gmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,9004 W Shorewood Dr Apt 519,Mercer Island,98040,WA,Lindsey Lenox,47.580215,-122.219822,http://maps.google.com/maps?&z=10&q=47.5802147+-122.21982220000001&ll=47.5802147+-122.21982220000001,
Padmaraj V Angolkar DDS Mds PS,1205906203,1,,,1,0,,,0,Not Accepting,Not Accepting,Appointment Only,Not Accepting,,13346 1St Ave Ne,Seattle,98125,WA,Lindsey Lenox,47.726461,-122.328651,http://maps.google.com/maps?&z=10&q=47.7264614+-122.32865119999997&ll=47.7264614+-122.32865119999997,
Pan-Pacific Dentistry,1548686165,0,panpacificdentistry@hotmail.com,,1,1,Private,Dentist,1,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,411 Strander Blvd #207,Tukwila,98188,WA,Lindsey Lenox,47.455812,-122.250942,http://maps.google.com/maps?&z=10&q=47.4558123+-122.2509422&ll=47.4558123+-122.2509422,
"Paradise Family Dental, Inc",,1,insurance@westrichlanddentist.com,,1,0,Private,Pediatric,0,Not Accepting,Appointment Only,Not Accepting,Not Accepting,,4900 Paradise Way Ste 104,West Richland,99353,WA,Lindsey Lenox,46.286074,-119.35314,http://maps.google.com/maps?&z=10&q=46.28607359999999+-119.35313969999999&ll=46.28607359999999+-119.35313969999999,
Parker Orthodontics,,0,nhsdmd@hotmail.com,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,315 N Sprague St,Ellensburg,98926,WA,Lindsey Lenox,46.995191,-120.543576,http://maps.google.com/maps?&z=10&q=46.9951906+-120.54357579999999&ll=46.9951906+-120.54357579999999,
Szilard Zombor,1659458990,0,conceptdental@comcast.net,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Appointment Only,,2027 196Th St Sw #R1,Lynnwood,98037,WA,Lindsey Lenox,47.82138,-122.260958,http://maps.google.com/maps?&z=10&q=47.8213801+-122.26095829999997&ll=47.8213801+-122.26095829999997,
T Michael Doyle DDS,1881815868,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,1325 Fourth Ave Ste 1230,Seattle,98101,WA,Lindsey Lenox,47.60876,-122.335873,http://maps.google.com/maps?&z=10&q=47.60876+-122.33587319999998&ll=47.60876+-122.33587319999998,
Ted W Stacy DDS,1538299623,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,"19221 108Th Ave SE, Ste. 1",Renton,98055,WA,Lindsey Lenox,47.429564,-122.197067,http://maps.google.com/maps?&z=10&q=47.42956419999999+-122.1970675&ll=47.42956419999999+-122.1970675,
Thane C Hisaw DMD,,0,,,0,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,82 E Francis Ave,Spokane,99208,WA,Lindsey Lenox,47.714617,-117.409202,http://maps.google.com/maps?&z=10&q=47.7146167+-117.409202&ll=47.7146167+-117.409202,
The Ranier Dental Center,,0,nkwontadds@gmail.com,,1,0,,,0,Appointment Only,Appointment Only,Not Accepting,Not Accepting,,11295 Lake City Way Ne,Seattle,98125,WA,Lindsey Lenox,47.710463,-122.30126,http://maps.google.com/maps?&z=10&q=47.7104631+-122.3012602&ll=47.7104631+-122.3012602,
Thomas A Dwyer DDS,1902018500,0,,,1,0,,,0,Not Accepting,Not Accepting,Not Accepting,Not Accepting,,12020 Se 60Th St,Bellevue,98006,WA,Lindsey Lenox,47.549691,-122.179691,http://maps.google.com/maps?&z=10&q=47.54969060000001+-122.17969110000001&ll=47.54969060000001+-122.17969110000001,
